,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
630,18582571,Clean upscale apt and location,Beacon Hill,42.35782,-71.06975,Entire home/apt,184.68,91,2,2017-05-27,0.02,1,0,0,NA,0.02
631,18584891,"◇Cape Cod Suite, with Private Bath ◇",Dorchester,42.29402,-71.06196,Private room,186.0,1,920,2024-12-14,9.94,3,131,115,str-482961,9.94
632,18605469,No longer available,Dorchester,42.28266,-71.05867,Private room,184.68,91,3,2018-10-14,0.03,1,0,0,NA,0.03
633,18612312,Logan Intl Airport - Boston I,East Boston,42.39031,-71.00178,Private room,50.0,91,1,2024-08-05,0.22,4,364,1,NA,0.22
634,18613633,Boston - Logan Intl Airport III,East Boston,42.38917,-71.00362,Private room,50.0,91,4,2019-11-30,0.04,4,364,0,NA,0.04
635,18617002,Artist's loft in the South End,South End,42.34125,-71.06522,Entire home/apt,184.68,91,6,2017-08-17,0.07,1,0,0,NA,0.07
636,18736738,Spacious pet friendly 1BD APT w/ Devoted Entrance.,West Roxbury,42.29486,-71.15989,Entire home/apt,113.0,91,19,2024-08-17,0.21,1,202,2,NA,0.21
637,18790023,Unwind from Boston in Comfy/Spacious PrivateRm,Roslindale,42.27801,-71.13446,Private room,110.0,2,95,2024-10-26,1.04,2,363,3,STR-401632,1.04
638,18875451,“The Sunset Room” at The Perthshire House.,Brighton,42.35418,-71.16776,Private room,93.0,1,236,2024-11-19,2.57,6,361,28,STR-453972,2.57
639,18875553,“The King's Room” at The Perthshire House.,Brighton,42.35401,-71.16776,Private room,95.0,1,99,2024-10-27,1.08,6,360,11,STR-453972,1.08
640,18875599,“The Pistachio Room” at The Perthshire House.,Brighton,42.35401,-71.16776,Private room,120.0,1,115,2024-11-16,1.25,6,255,10,STR-453972,1.25
641,18876533,“The In & Out Room” at The Perthshire House.,Brighton,42.35457,-71.16684,Private room,184.68,1,118,2024-10-26,2.27,6,358,19,STR-453972,2.27
